Date,MONTH1,Month2,Month3,Month1
2021-03-15 22:54:30,AUG-21|2021-07-27 17:30:00|UNKNOWN,JUN-21|2021-05-25 17:30:00|UNKNOWN,APR-21|2021-03-26 18:30:00|UNKNOWN,UNMAPPED
2021-03-26 21:42:44,AUG-21|2021-07-27 17:30:00|UNKNOWN,JUN-21|2021-05-25 17:30:00|UNKNOWN,DEC-21|2021-11-24 18:30:00|UNKNOWN,UNMAPPED
2021-05-25 21:16:38,AUG-21|2021-07-27 17:30:00|UNKNOWN,FEB-22|2022-01-26 18:30:00|UNKNOWN,DEC-21|2021-11-24 18:30:00|UNKNOWN,UNMAPPED
2021-07-28 05:28:32,APR-22|2022-03-28 17:30:00|UNKNOWN,FEB-22|2022-01-26 18:30:00|UNKNOWN,DEC-21|2021-11-24 18:30:00|UNKNOWN,UNMAPPED
2021-11-25 05:29:08,APR-22|2022-03-28 17:30:00|UNKNOWN,FEB-22|2022-01-26 18:30:00|UNKNOWN,JUN-22|2022-05-26 17:30:00|UNKNOWN,UNMAPPED
2021-12-30 05:21:30,APR-22|2022-03-28 17:30:00|UNKNOWN,FEB-22|2022-01-26 18:30:00|UNKNOWN,JUN-22|2022-05-25 17:30:00|UNKNOWN,UNMAPPED
2022-01-27 05:22:40,APR-22|2022-03-28 17:30:00|UNKNOWN,AUG-22|2022-07-26 17:30:00|UNKNOWN,JUN-22|2022-05-25 17:30:00|UNKNOWN,UNMAPPED
2022-08-04 11:27:07,DEC-22|2022-11-25 18:30:00|UNKNOWN,APR-23|2023-03-28 17:30:00|UNKNOWN,FEB-23|2023-01-26 18:30:00|UNKNOWN,UNMAPPED
2023-01-29 21:23:20,JUN-23|2023-05-25 17:30:00|UNKNOWN,APR-23|2023-03-28 17:30:00|UNKNOWN,AUG-23|2023-07-26 17:30:00|UNKNOWN,JUN-23|2023-05-25 17:30:00|UNKNOWN
2023-02-09 19:13:05,JUN-23|2023-05-25 17:30:00|OFFLINE,APR-23|2023-03-28 17:30:00|TRADEABLE,AUG-23|2023-07-26 17:30:00|OFFLINE,JUN-23|2023-05-25 17:30:00|OFFLINE
2023-02-17 11:16:55,UNMAPPED,APR-23|2023-03-28 17:30:00|TRADEABLE,AUG-23|2023-07-26 17:30:00|OFFLINE,JUN-23|2023-05-25 17:30:00|OFFLINE
